BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,1.9,1000,1900
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,,0,0
TQBR,2014-06-17,,0,0
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,1.764,1000,1764
TQBR,2014-06-20,,0,0
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,1.763,17000,29787
TQBR,2014-07-08,1.646,35000,58717
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,1.71,1000,1710
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,1.71,1000,1710
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,1.7,8000,13595
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,,0,0
TQBR,2014-07-23,1.6,17000,27669
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,1.72,7000,12039
TQBR,2014-07-28,1.908,3000,5724
TQBR,2014-07-29,1.7,10000,17000
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,1.602,1000,1602
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,1.6,10000,16000
TQBR,2014-08-07,,0,0
TQBR,2014-08-08,1.563,26000,40652
TQBR,2014-08-11,1.68,29000,47800
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,1.5,15000,23111
TQBR,2014-08-15,1.55,1000,1550
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,1.6,1000,1600
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,,0,0
TQBR,2014-08-27,,0,0
TQBR,2014-08-28,,0,0
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,1.649,1000,1649
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,,0,0
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,1.5,12000,18008
TQBR,2014-09-09,1.599,9000,14391
TQBR,2014-09-10,,0,0
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,1.599,1000,1599
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,1.55,15000,22603
TQBR,2014-09-19,1.597,1000,1597
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,,0,0
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,,0,0
TQBR,2014-09-26,,0,0
TQBR,2014-09-29,,0,0
TQBR,2014-09-30,,0,0
TQBR,2014-10-01,,0,0
TQBR,2014-10-02,,0,0
TQBR,2014-10-03,,0,0
TQBR,2014-10-06,1.5,1000,1500
TQBR,2014-10-07,,0,0
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,1.4,12000,16860
TQBR,2014-10-13,1.36,4000,5520
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,,0,0
TQBR,2014-10-16,1.35,1601000,2041350
TQBR,2014-10-17,,0,0
TQBR,2014-10-20,,0,0
TQBR,2014-10-21,,0,0
TQBR,2014-10-22,,0,0
TQBR,2014-10-23,,0,0
TQBR,2014-10-24,,0,0
TQBR,2014-10-27,1.31,1000,1310
TQBR,2014-10-28,,0,0
TQBR,2014-10-29,1.55,5000,7740
TQBR,2014-10-30,,0,0
TQBR,2014-10-31,,0,0
TQBR,2014-11-03,,0,0
TQBR,2014-11-05,1.55,6000,9300
TQBR,2014-11-06,,0,0
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,,0,0
TQBR,2014-11-11,,0,0
TQBR,2014-11-12,1.58,2000,3080
TQBR,2014-11-13,1.59,1000,1590
TQBR,2014-11-14,,0,0
TQBR,2014-11-17,,0,0
TQBR,2014-11-18,1.4,10000,14010
TQBR,2014-11-19,1.58,16000,25270
TQBR,2014-11-20,,0,0
TQBR,2014-11-21,,0,0
TQBR,2014-11-24,1.6,3000,4410
TQBR,2014-11-25,1.58,7000,10380
TQBR,2014-11-26,1.65,18000,29660
TQBR,2014-11-27,1.68,32000,51950
TQBR,2014-11-28,,0,0
TQBR,2014-12-01,,0,0
TQBR,2014-12-02,,0,0
TQBR,2014-12-03,,0,0
TQBR,2014-12-04,,0,0
TQBR,2014-12-05,,0,0
TQBR,2014-12-08,1.5,11000,16510
TQBR,2014-12-09,,0,0
TQBR,2014-12-10,1.4,10000,14000
TQBR,2014-12-11,,0,0
TQBR,2014-12-12,1.44,3000,4050
TQBR,2014-12-15,1.42,8000,11330
TQBR,2014-12-16,1.4,20000,24350
TQBR,2014-12-17,1.39,21000,28610
TQBR,2014-12-18,1.4,12000,16730
TQBR,2014-12-19,,0,0
TQBR,2014-12-22,1.35,3000,4050
TQBR,2014-12-23,,0,0
TQBR,2014-12-24,1.3,8000,10700
TQBR,2014-12-25,1.5,28000,39960
TQBR,2014-12-26,1.3,23000,30390
TQBR,2014-12-29,1.33,281000,399990
TQBR,2014-12-30,1.3,8000,10420
TQBR,2015-01-05,,0,0
TQBR,2015-01-06,1.49,4000,5710
TQBR,2015-01-08,1.49,12000,17980
TQBR,2015-01-09,1.6,11000,17600
TQBR,2015-01-12,,0,0
TQBR,2015-01-13,1.63,6000,9990
TQBR,2015-01-14,1.69,1000,1690
TQBR,2015-01-15,,0,0
TQBR,2015-01-16,1.66,18000,29610
TQBR,2015-01-19,,0,0
TQBR,2015-01-20,,0,0
TQBR,2015-01-21,,0,0
TQBR,2015-01-22,1.49,109000,163210
TQBR,2015-01-23,1.5,10000,15000
TQBR,2015-01-26,1.48,5000,7440
TQBR,2015-01-27,1.5,33000,46960
TQBR,2015-01-28,1.49,10000,14900
TQBR,2015-01-29,1.4,24000,33810
TQBR,2015-01-30,1.4,17000,23830
TQBR,2015-02-02,1.4,1000,1400
TQBR,2015-02-03,1.34,27000,35630
TQBR,2015-02-04,,0,0
TQBR,2015-02-05,1.3,1000,1300
TQBR,2015-02-06,1.3,29000,38940
TQBR,2015-02-09,1.4,13000,18200
TQBR,2015-02-10,,0,0
TQBR,2015-02-11,1.39,4000,5580
TQBR,2015-02-12,1.3,4000,5200
TQBR,2015-02-13,1.3,238000,309570
TQBR,2015-02-16,1.3,261000,338980
TQBR,2015-02-17,1.3,95000,123330
TQBR,2015-02-18,1.25,277000,359710
TQBR,2015-02-19,1.25,18000,22660
TQBR,2015-02-20,1.29,8000,10190
TQBR,2015-02-24,1.27,78000,104560
TQBR,2015-02-25,1.38,18000,24340
TQBR,2015-02-26,,0,0
TQBR,2015-02-27,1.4,22000,30890
TQBR,2015-03-02,1.46,4000,5800
TQBR,2015-03-03,,0,0
TQBR,2015-03-04,1.39,20000,27720
TQBR,2015-03-05,,0,0
TQBR,2015-03-06,,0,0
TQBR,2015-03-10,1.32,5000,6650
TQBR,2015-03-11,1.29,52000,68470
TQBR,2015-03-12,1.35,8000,10860
TQBR,2015-03-13,1.4,6000,8390
TQBR,2015-03-16,1.4,5000,7000
TQBR,2015-03-17,,0,0
TQBR,2015-03-18,,0,0
TQBR,2015-03-19,,0,0
TQBR,2015-03-20,1.4,3000,4200
TQBR,2015-03-23,1.43,1000,1430
TQBR,2015-03-24,1.37,21000,27710
TQBR,2015-03-25,1.37,3000,4070
TQBR,2015-03-26,1.2,176000,218390
TQBR,2015-03-27,1.11,11000,12320
TQBR,2015-03-30,1.26,6000,7510
TQBR,2015-03-31,,0,0
TQBR,2015-04-01,1.3,17000,20270
TQBR,2015-04-02,1.3,1000,1300
TQBR,2015-04-03,,0,0
TQBR,2015-04-06,1.3,13000,16900
TQBR,2015-04-07,1.35,1000,1350
TQBR,2015-04-08,1.3,34000,42360
TQBR,2015-04-09,1.12,15000,18220
TQBR,2015-04-10,,0,0
TQBR,2015-04-13,1.37,97000,130580
TQBR,2015-04-14,,0,0
TQBR,2015-04-15,1.44,10000,14400
TQBR,2015-04-16,1.43,1000,1430
TQBR,2015-04-17,1.32,84000,110200
TQBR,2015-04-20,1.52,2000,3040
TQBR,2015-04-21,,0,0
TQBR,2015-04-22,1.47,1000,1470
TQBR,2015-04-23,1.47,5000,7350
TQBR,2015-04-24,,0,0
TQBR,2015-04-27,1.45,7000,10000
TQBR,2015-04-28,1.4,3000,4200
TQBR,2015-04-29,1.4,10000,14000
TQBR,2015-04-30,,0,0
TQBR,2015-05-05,1.34,37000,49560
TQBR,2015-05-06,1.31,1000,1310
TQBR,2015-05-07,1.39,1000,1390
TQBR,2015-05-08,,0,0
TQBR,2015-05-12,1.35,5000,6750
TQBR,2015-05-13,1.38,6000,8130
TQBR,2015-05-14,1.37,3000,4110
TQBR,2015-05-15,,0,0
TQBR,2015-05-18,1.38,2000,2760
