BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.3883,2000,766.3
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,0.4395,3000,1318.5
TQBR,2014-06-16,0.4,31000,12400.1
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,0.4309,1000,430.9
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,0.45,131000,57174.6
TQBR,2014-06-30,0.45,5000,2250.0
TQBR,2014-07-01,0.5,39000,18722.1
TQBR,2014-07-02,0.542,14000,6981.1
TQBR,2014-07-03,0.5418,6000,3250.8
TQBR,2014-07-04,0.5417,3000,1625.1
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,0.403,9000,3682.1
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,0.4993,53000,26174.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,0.403,7000,2821.3
TQBR,2014-08-01,0.4034,1000,403.4
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,0.403,43000,17328.9
TQBR,2014-08-06,0.403,1000,403.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,0.42,4000,1618.8
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
