BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.039,230000,7144.8
TQBR,2014-06-10,0.03608,290000,10981.6
TQBR,2014-06-11,0.0399,470000,18753.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,0.035,100000,3500.0
TQBR,2014-06-18,0.03888,350000,12406.2
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,0.035,1260000,43501.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,0.03951,20000,790.2
TQBR,2014-06-25,0.03333,1230000,39156.3
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,0.03879,40000,1550.8
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,0.0394,5710000,183089.3
TQBR,2014-07-08,0.0395,4200000,165900.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,0.039,30000,1129.9
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,0.039,50000,1670.4
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,0.03881,10000,388.1
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,0.036,10000,360.0
TQBR,2014-08-05,0.0335,50000,1675.2
TQBR,2014-08-06,0.034,1240000,42379.8
TQBR,2014-08-07,0.031,440000,14275.3
TQBR,2014-08-08,0.0315,80000,2633.5
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,0.03251,20000,650.2
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,0.033,150000,4955.8
TQBR,2014-08-15,0.03513,1060000,37138.0
TQBR,2014-08-18,0.035,230000,8050.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,0.0345,90000,3110.0
TQBR,2014-08-21,0.035,170000,5950.0
TQBR,2014-08-22,0.035,20000,700.1
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,0.03688,20000,689.2
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,0.03555,1570000,58119.0
TQBR,2014-09-15,0.03177,20000,635.4
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,0.03499,120000,3904.9
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,0.03933,430000,16717.1
TQBR,2014-09-24,0.0449,10000,449.0
TQBR,2014-09-25,0.042,10000,420.0
TQBR,2014-09-26,0.04496,20000,879.6
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,0.0392,30000,1173.0
TQBR,2014-10-07,0.0391,10000,391.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,0.04,19990000,799668.0
TQBR,2014-10-10,0.04,10580000,423237.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,0.044,60000,2490.0
TQBR,2014-10-15,0.0498,80000,3643.0
TQBR,2014-10-16,0.0458,1760000,72841.0
TQBR,2014-10-17,0.041,340000,15961.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,0.047,10000,470.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,0.035,2090000,74317.0
TQBR,2014-10-24,0.0399,70000,2796.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,0.0413,360000,14163.0
TQBR,2014-10-29,,0,0.0
TQBR,2014-10-30,0.0425,10000,425.0
TQBR,2014-10-31,0.0484,90000,4210.0
TQBR,2014-11-03,0.0403,20000,942.0
TQBR,2014-11-05,0.0475,70000,3313.0
TQBR,2014-11-06,0.0485,80000,3484.0
TQBR,2014-11-07,,0,0.0
TQBR,2014-11-10,0.0499,1490000,74382.0
TQBR,2014-11-11,0.0498,30000,1493.0
TQBR,2014-11-12,0.045,30000,1242.0
TQBR,2014-11-13,,0,0.0
TQBR,2014-11-14,,0,0.0
TQBR,2014-11-17,,0,0.0
TQBR,2014-11-18,0.038,120000,4539.0
TQBR,2014-11-19,0.0379,20150000,765719.0
TQBR,2014-11-20,0.0496,70000,2993.0
TQBR,2014-11-21,0.0486,60000,2680.0
TQBR,2014-11-24,,0,0.0
TQBR,2014-11-25,0.0401,40000,1672.0
TQBR,2014-11-26,0.0495,70000,3360.0
TQBR,2014-11-27,,0,0.0
TQBR,2014-11-28,,0,0.0
TQBR,2014-12-01,,0,0.0
TQBR,2014-12-02,,0,0.0
TQBR,2014-12-03,,0,0.0
TQBR,2014-12-04,,0,0.0
TQBR,2014-12-05,,0,0.0
TQBR,2014-12-08,0.0488,50000,2203.0
TQBR,2014-12-09,,0,0.0
TQBR,2014-12-10,0.04,740000,30180.0
TQBR,2014-12-11,,0,0.0
