BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,0.3,90000,26403.0
TQBR,2014-06-25,0.34,4280000,1534706.9
TQBR,2014-06-26,0.45,280000,123610.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,0.32001,40000,13600.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,0.34,30000,10120.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,0.33201,110000,36521.1
TQBR,2014-07-17,0.332,20000,6640.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,0.38791,20000,7758.1
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,0.33,10000,3300.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,0.34001,10000,3400.1
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,0.33,10000,3300.0
TQBR,2014-08-15,0.33,600000,198000.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,0.35,10000,3500.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
