BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,747.0,14,10457.6
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,852.0,30,24807.0
TQBR,2014-06-20,700.0,17,12220.1
TQBR,2014-06-23,690.0,29,20277.0
TQBR,2014-06-24,750.0,78,58460.0
TQBR,2014-06-25,854.0,370,302776.0
TQBR,2014-06-26,901.0,431,377828.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,750.1,2,1650.0
TQBR,2014-07-02,750.1,4,3238.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,749.9,1,749.9
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,789.9,5,3949.5
TQBR,2014-08-01,750.0,2,1500.0
TQBR,2014-08-04,750.0,346,269568.2
TQBR,2014-08-05,800.0,12,9050.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,750.0,50,37500.0
TQBR,2014-08-11,780.0,108,81240.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,750.0,94,70500.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,760.0,42,31920.0
TQBR,2014-08-20,773.0,285,221074.4
TQBR,2014-08-21,770.1,10,7701.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,775.4,18,13892.3
TQBR,2014-08-26,780.1,1,780.1
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,770.0,1004,773082.7
TQBR,2014-08-29,765.0,372,286414.9
TQBR,2014-09-01,785.2,883,712114.0
TQBR,2014-09-02,920.0,1066,949979.1
TQBR,2014-09-03,900.0,415,373500.1
TQBR,2014-09-04,900.0,51,45899.9
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,999.9,11,10749.4
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,807.0,1,807.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,825.0,1215,1002375.0
TQBR,2014-10-13,825.0,319,263175.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,,0,0.0
TQBR,2014-10-20,801.0,40,32040.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,825.0,1,825.0
TQBR,2014-10-29,,0,0.0
TQBR,2014-10-30,,0,0.0
TQBR,2014-10-31,,0,0.0
TQBR,2014-11-03,,0,0.0
TQBR,2014-11-05,820.0,4,3280.0
TQBR,2014-11-06,,0,0.0
TQBR,2014-11-07,,0,0.0
TQBR,2014-11-10,821.0,291,238709.0
TQBR,2014-11-11,821.0,525,430679.0
TQBR,2014-11-12,821.0,477,391132.0
TQBR,2014-11-13,,0,0.0
TQBR,2014-11-14,820.0,122,100120.0
TQBR,2014-11-17,,0,0.0
TQBR,2014-11-18,821.0,175,143675.0
TQBR,2014-11-19,822.0,69,56717.0
TQBR,2014-11-20,900.0,33,29693.0
TQBR,2014-11-21,,0,0.0
TQBR,2014-11-24,950.0,116,110000.0
TQBR,2014-11-25,821.0,44,35565.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,,0,0.0
TQBR,2014-11-28,,0,0.0
TQBR,2014-12-01,825.0,14,11534.0
TQBR,2014-12-02,,0,0.0
TQBR,2014-12-03,,0,0.0
TQBR,2014-12-04,,0,0.0
TQBR,2014-12-05,,0,0.0
TQBR,2014-12-08,950.0,139,128646.0
TQBR,2014-12-09,,0,0.0
TQBR,2014-12-10,935.0,1,935.0
